"","values_baccini","value12","Value_3000"
"1",1.208753,0,0.613122
"2",2.423342,2.157988,2.323004
"3",9.279564,2.571055,2.482992
"4",12.89925,9.997431,7.658316
"5",11.599506,18.151455,12.888613
"6",12.531071,22.099531,13.204413
"7",11.840235,22.052181,13.420178
"8",8.150491,22.204805,13.471797
"9",1.219768,15.598911,7.574152
"10",1.638029,12.323589,6.836509
"11",1.24038,7.347558,4.48473
"12",1.220171,7.71845,5.011175
"13",1.966442,4.459494,3.266227
"14",1.763082,0,3.390723
"15",6.740679,2.677804,2.591907
"16",13.075833,9.010913,7.446411
"17",13.179827,21.007984,12.975594
"18",11.82044,21.957989,13.472331
"19",12.861554,18.530077,13.524672
"20",11.866746,21.968468,13.443261
"21",2.747147,22.021774,13.234563
"22",2.001348,16.185543,8.447501
"23",3.203002,17.597042,9.172542
"24",7.296964,18.970947,9.933742
"25",7.452271,19.15892,9.683388
"26",8.416282,18.409224,9.211692
"27",4.132393,17.503786,9.03235
"28",1.826153,17.511992,8.804691
"29",3.382748,14.103665,7.724854
"30",3.501513,2.76299,2.759338
"31",3.93393,0,0.234907
"32",11.068031,1.965549,2.428178
"33",12.96949,16.247149,12.379566
"34",12.852179,21.864679,13.468348
"35",12.409996,18.52684,13.60658
"36",12.17122,18.33161,13.429863
"37",10.482204,21.069386,13.017436
"38",0.087405,21.645929,12.85804
"39",1.441512,11.876576,8.618937
"40",3.560673,16.099337,9.3807
"41",8.912958,19.147961,9.899787
"42",7.007206,15.331018,9.7458
"43",12.083473,20.420013,10.282806
"44",10.924612,16.57276,10.927123
"45",12.533567,20.857697,11.306976
"46",6.9123,15.330618,10.030699
"47",5.33465,18.589581,9.843362
"48",10.198742,19.713234,10.399295
"49",12.915779,18.722782,9.759459
"50",10.773947,7.219754,4.906307
"51",10.328204,13.54083,8.912975
"52",12.428827,22.707541,13.384742
"53",12.435293,18.540613,13.660143
"54",11.769901,21.671993,13.59991
"55",11.87122,18.298826,13.450722
"56",9.897956,20.739777,13.121086
"57",4.217365,20.517288,12.972644
"58",0.506563,15.085436,11.797374
"59",1.133604,13.00262,9.662374
"60",1.159916,12.470772,9.308513
"61",1.263101,12.409112,9.207741
"62",2.842909,12.934755,9.462133
"63",10.943855,17.895166,10.640886
"64",11.090164,20.855421,11.183174
"65",13.477905,22.631277,10.980192
"66",12.781979,24.65453,11.616999
"67",12.349999,21.492815,12.311531
"68",12.83573,21.279367,12.450953
"69",12.053759,20.409859,11.497955
"70",8.345031,20.038643,10.93133
"71",9.236765,21.041018,11.440833
"72",13.803045,22.258551,11.984442
"73",13.218907,24.810297,13.863494
"74",12.029786,24.711237,14.011953
"75",13.292991,25.370998,14.205313
"76",12.709444,23.187325,13.832884
"77",13.081903,22.178501,13.649578
"78",12.790282,21.818254,13.621357
"79",10.044538,21.04092,13.362921
"80",8.281239,17.753645,13.161397
"81",4.166659,17.227402,12.313991
"82",1.11848,13.646882,9.725415
"83",0.91694,14.034716,10.295633
"84",0.79464,14.103198,10.457463
"85",0.932279,13.962924,10.42401
"86",1.177087,13.228004,9.907053
"87",1.496701,14.925059,9.684942
"88",10.136972,14.270019,10.394281
"89",12.093739,16.562115,11.176039
"90",9.186418,22.272409,11.130271
"91",10.770437,22.113598,11.111653
"92",13.253541,24.316246,11.504945
"93",13.909062,23.239586,13.04689
"94",13.437985,21.454428,12.82287
"95",12.125063,22.106028,13.033638
"96",11.987251,19.096458,13.184078
"97",10.498158,23.291031,13.201529
"98",11.25884,20.182428,12.936977
"99",9.264588,28.547045,13.315915
"100",7.012742,28.341557,13.613937
"101",13.649968,26.250868,14.001624
"102",13.568021,20.504681,14.086283
"103",12.686668,23.631403,14.012041
"104",12.553703,22.529772,13.848697
"105",11.214558,18.720587,13.704185
"106",9.874812,18.105642,13.472401
"107",6.756529,20.442202,12.694427
"108",7.696536,14.376143,11.33301
"109",7.677243,14.24055,9.706295
"110",5.966006,11.836226,5.44514
"111",8.381908,20.106974,12.403378
"112",6.822335,17.632591,12.302972
"113",10.389258,19.827124,11.962517
"114",6.844539,20.03492,11.587263
"115",3.289294,19.292587,10.453881
"116",1.219314,15.027077,10.782691
"117",1.120065,17.47534,11.326814
"118",0.920631,15.505969,11.685967
"119",0.787738,16.960716,11.594652
"120",0.912621,15.350643,11.760517
"121",0.997703,16.632437,11.542137
"122",1.38606,15.840918,10.83908
"123",5.26283,15.597594,10.450829
"124",12.171471,15.848713,11.439558
"125",12.17607,19.317507,11.415817
"126",8.434799,15.897294,10.945181
"127",9.903143,19.173109,10.724401
"128",13.332964,21.880159,11.031229
"129",14.693169,21.519438,11.880222
"130",13.978188,18.49177,12.797794
"131",13.853173,22.021416,13.463337
"132",13.723578,22.42872,13.793009
"133",11.651132,23.575197,13.925398
"134",9.796879,26.949757,13.937608
"135",6.014184,28.175442,13.713277
"136",3.386197,26.484694,12.824063
"137",10.286094,23.684496,10.962422
"138",13.340682,24.937971,13.212425
"139",15.018789,26.017643,14.391924
"140",13.859694,23.546253,14.135774
"141",11.465773,18.531893,13.708729
"142",10.781043,21.264566,13.366543
"143",11.152204,17.353863,12.822876
"144",11.21857,20.160181,12.485835
"145",10.802493,17.588552,12.311996
"146",11.508952,18.168756,12.600045
"147",12.026472,17.930916,12.606262
"148",10.693169,20.815849,12.571154
"149",11.573736,17.665289,11.7692
"150",11.509072,18.022148,12.178324
"151",12.698698,18.366961,12.593351
"152",11.730117,17.819578,12.222895
"153",1.08895,15.898458,11.135799
"154",1.095175,18.326042,10.896816
"155",1.020629,15.651335,11.346278
"156",0.968524,15.987588,12.04351
"157",0.971316,16.013317,12.179741
"158",1.201747,16.145725,12.380642
"159",1.987858,15.771351,12.279634
"160",2.30801,15.211411,11.882972
"161",4.941467,15.013344,11.783197
"162",7.944016,15.261901,11.992445
"163",11.458751,17.54969,13.124011
"164",11.735319,17.814659,12.66451
"165",8.193607,15.197442,10.911133
"166",10.935405,19.156792,10.741254
"167",11.976191,15.979141,10.636183
"168",14.052293,21.170223,11.170004
"169",12.927471,24.613968,14.030088
"170",14.375076,19.558577,14.154511
"171",14.616199,22.806143,14.14414
"172",13.628336,23.93848,14.244781
"173",12.74383,25.21258,14.335163
"174",8.318214,27.072367,14.147351
"175",4.163328,20.432137,12.709682
"176",1.437063,19.174541,9.424198
"177",1.983089,18.479118,9.361049
"178",9.18375,25.67391,14.131931
"179",12.347823,24.416885,14.166728
"180",11.362032,22.438116,13.445423
"181",11.9013,18.233755,13.323318
"182",10.484213,20.816212,13.093035
"183",9.650402,20.587034,12.869714
"184",12.467888,20.724203,12.875559
"185",12.264347,17.997391,12.747426
"186",12.700104,19.490322,12.257268
"187",6.777595,17.876339,12.570659
"188",9.438023,17.990946,12.523786
"189",12.179113,20.410316,12.783845
"190",12.947693,20.087414,12.69435
"191",13.239424,19.962992,12.804247
"192",12.811646,17.909952,12.878042
"193",6.825836,20.308769,13.005571
"194",2.144298,21.81144,13.309318
"195",1.429813,19.969196,12.009307
"196",0.999048,18.96105,11.185572
"197",0.982945,15.707527,11.219765
"198",1.102339,18.364679,12.005856
"199",1.347033,18.404493,12.361027
"200",3.748429,16.432405,12.557318
"201",9.106505,16.284916,12.695069
"202",9.635113,16.056238,12.538891
"203",9.979407,15.652836,12.335527
"204",9.249982,15.383696,12.233068
"205",7.898135,15.301026,12.163398
"206",10.385648,15.606194,12.308256
"207",6.408275,16.701864,12.625612
"208",9.16012,16.688496,12.294464
"209",13.191184,19.23418,12.884752
"210",13.435997,22.167559,11.389547
"211",14.190567,19.192476,12.422944
"212",14.112299,23.852436,14.22572
"213",14.264358,19.879026,14.23418
"214",14.667023,23.885941,14.259478
"215",14.61241,23.900387,14.270617
"216",13.157465,24.664217,14.229054
"217",10.980551,22.512938,12.970885
"218",6.112506,18.322863,10.025894
"219",1.226315,17.418686,9.372131
"220",1.095246,13.412165,6.864097
"221",3.335539,9.904751,4.644525
"222",11.431199,12.220541,6.343799
"223",11.285057,14.732891,7.367332
"224",11.113094,14.839275,9.100668
"225",10.498807,20.532169,12.837734
"226",9.932555,17.899664,12.69789
"227",13.603875,20.963215,13.025176
"228",13.301889,18.097927,12.796346
"229",13.552523,17.555901,12.054996
"230",12.299894,17.567083,12.053072
"231",12.317724,18.249863,12.672382
"232",12.588167,18.126741,12.747222
"233",13.985073,17.930098,12.719807
"234",14.450907,17.923056,12.866968
"235",13.579915,18.301466,13.148267
"236",12.35243,21.480583,13.439122
"237",6.824744,20.406691,12.938001
"238",4.710498,29.695992,9.540801
"239",3.78505,23.189198,14.064431
"240",1.954818,18.031816,13.138947
"241",1.213927,19.291555,12.085093
"242",1.019809,15.941967,11.452072
"243",1.353503,18.34536,11.432234
"244",3.540987,16.068205,12.108955
"245",8.875884,18.401667,12.502136
"246",11.569963,16.309969,12.598763
"247",10.647754,16.317219,12.692154
"248",10.261319,16.11956,12.601563
"249",10.004966,15.818346,12.459884
"250",8.92642,15.680225,12.485306
"251",5.2945,15.401067,12.318599
"252",5.192326,15.363045,12.278937
"253",7.363406,16.231077,12.655482
"254",12.151808,18.056635,13.48042
"255",12.941592,19.517876,14.029911
"256",12.445946,19.720112,14.029698
"257",13.026694,23.416759,14.069039
"258",14.148405,24.515453,14.223665
"259",14.428195,19.219376,14.083273
"260",13.540572,19.383989,14.146229
"261",13.301316,23.546196,14.166521
"262",13.141505,18.137653,11.974906
"263",8.607675,17.119858,9.154189
"264",1.167713,13.718395,8.353633
"265",1.026573,15.974788,8.114416
"266",1.121101,15.480478,7.669006
"267",1.014597,14.084462,6.687422
"268",4.982349,14.432979,6.996866
"269",10.690078,15.062002,7.620927
"270",11.237742,14.060551,8.359993
"271",10.405643,17.464151,12.276507
"272",13.631763,17.577742,12.269724
"273",13.785545,20.740562,12.769003
"274",14.108433,21.846607,13.242428
"275",13.934172,19.773775,11.802612
"276",13.944138,19.079493,10.80159
"277",13.302901,17.279833,11.231727
"278",13.505297,19.407881,11.533123
"279",14.14261,17.637903,11.843531
"280",14.480425,17.850861,12.410806
"281",14.190693,17.787863,12.634669
"282",13.69995,18.112545,12.867002
"283",10.658453,17.891287,12.314939
"284",3.292954,17.917715,12.151528
"285",6.078328,7.633458,7.942354
"286",9.451421,19.81776,13.769343
"287",3.570509,21.090046,13.334865
"288",2.233096,17.657064,13.016821
"289",1.496438,19.8069,12.94587
"290",1.794034,17.041389,12.608508
"291",6.646027,15.74057,11.768372
"292",11.010264,16.211863,12.280629
"293",11.435357,16.776649,12.853134
"294",10.792534,16.565563,12.796607
"295",11.955441,16.419628,12.763151
"296",12.106762,16.253511,12.683261
"297",11.063464,16.060333,12.620484
"298",9.347086,15.812014,12.630784
"299",8.057426,15.708013,12.607755
"300",9.270332,15.443562,12.406945
"301",9.442041,16.026789,12.634524
"302",11.779634,16.889629,13.043653
"303",10.451303,18.179192,13.613095
"304",11.843203,18.153625,13.496394
"305",12.405293,21.977617,13.766509
"306",13.432146,24.335251,14.125947
"307",14.904908,23.423244,14.199753
"308",14.297433,19.303955,14.077987
"309",13.853871,18.506819,13.358162
"310",13.077792,14.220114,9.124207
"311",11.077045,13.940154,8.899232
"312",1.793856,13.449911,8.440162
"313",0.983636,15.07669,7.814137
"314",0.884356,15.27868,7.777791
"315",3.673218,15.575174,7.775041
"316",12.074906,15.778653,7.84123
"317",13.00317,15.412624,7.836454
"318",13.003576,15.097065,9.233789
"319",12.957523,16.340712,11.679826
"320",13.543056,15.672098,10.694188
"321",13.751014,16.381905,9.628365
"322",14.296082,17.261745,10.400191
"323",14.195923,16.472292,10.65214
"324",14.183029,16.685843,10.761567
"325",14.321884,17.127277,10.994119
"326",13.928286,19.155157,11.134174
"327",13.828144,17.318495,11.316872
"328",13.989084,17.604,11.850466
"329",14.8218,17.283762,11.690784
"330",13.95708,17.054878,11.584368
"331",13.654256,19.474813,11.771185
"332",7.894918,19.976782,11.759187
"333",3.94449,13.324327,8.860773
"334",9.330746,22.624943,12.818964
"335",12.648557,18.526567,13.137323
"336",10.528882,19.213316,13.562304
"337",8.472131,17.407681,12.95945
"338",4.213586,17.178102,12.936014
"339",3.841321,17.162548,12.9509
"340",9.247152,17.108088,12.901125
"341",10.28653,17.09675,13.103512
"342",10.750109,18.698956,13.080655
"343",11.160185,18.509769,13.036981
"344",11.168481,16.552643,12.948566
"345",10.9076,16.375023,12.778963
"346",11.069751,16.288301,12.841478
"347",11.487663,16.222281,12.943429
"348",10.77755,15.92736,12.886643
"349",10.541891,15.66651,12.616088
"350",10.330422,16.067015,12.75934
"351",10.536255,16.622709,13.098776
"352",10.928014,17.853548,13.513883
"353",11.125697,18.434708,13.618487
"354",12.269125,21.101156,13.371034
"355",12.515549,23.750141,14.014526
"356",14.660906,24.147303,14.061506
"357",14.421876,19.772482,14.070837
"358",13.989536,17.051565,11.025694
"359",13.847138,16.919725,9.658717
"360",11.974194,14.473948,9.579392
"361",4.675864,16.270372,9.343126
"362",2.048733,15.193754,8.15762
"363",3.128558,15.287567,7.968713
"364",0.88045,15.378266,7.860783
"365",4.564363,12.560243,7.815897
"366",13.405817,15.607114,8.173078
"367",12.872469,15.036604,9.09341
"368",13.023311,15.855642,11.311457
"369",13.089329,15.180209,9.418526
"370",13.446548,14.57476,8.347734
"371",13.622039,15.442752,8.376762
"372",14.718883,15.955867,9.063665
"373",14.270274,18.796736,10.298298
"374",14.751153,17.867208,11.228447
"375",14.469702,19.0252,11.09772
"376",14.252369,16.915154,11.072853
"377",14.309813,17.398937,11.423175
"378",14.828083,16.867304,11.354775
"379",15.028236,16.68037,11.338569
"380",14.18523,16.697266,11.484606
"381",11.968682,16.432821,11.528934
"382",1.161483,15.861281,11.29058
"383",5.763002,27.858875,9.078923
"384",4.271179,6.049902,12.390535
"385",8.897073,23.951473,13.405499
"386",7.238658,18.306479,13.438152
"387",9.898098,17.381178,12.883576
"388",8.481042,18.212385,13.246349
"389",11.062826,19.474987,12.985696
"390",7.396702,17.648567,13.190236
"391",10.281235,19.355991,13.138095
"392",11.248332,17.315977,13.251224
"393",11.447225,19.032722,13.285248
"394",11.789125,17.059488,13.215125
"395",11.611218,17.002243,13.285825
"396",11.915484,16.789473,13.209248
"397",12.253104,16.548,13.087247
"398",11.539552,16.462036,13.062417
"399",11.64371,16.312975,13.02612
"400",12.029424,16.278625,13.008432
"401",10.518605,16.11552,12.89152
"402",10.383866,16.272583,12.901198
"403",10.388105,16.78504,13.102878
"404",11.022644,19.054556,13.98106
"405",12.4926,18.317207,13.486728
"406",13.105084,21.099861,13.420711
"407",13.789423,18.995272,13.71123
"408",14.074303,23.207363,13.911819
"409",13.960412,19.362869,13.52293
"410",14.164387,16.669046,10.729493
"411",13.193223,15.092847,9.916878
"412",12.062784,14.264762,9.50124
"413",8.00185,14.159885,9.242105
"414",7.648173,15.448162,8.487635
"415",8.065072,15.925615,8.475874
"416",2.842958,15.890534,8.404535
"417",10.233228,13.629184,8.600567
"418",13.576884,13.558828,8.705947
"419",13.342113,16.356239,9.053962
"420",12.381731,15.366851,10.369383
"421",12.37228,14.906742,8.666142
"422",13.599825,14.532997,8.177097
"423",12.083774,14.94463,8.090506
"424",9.397446,14.698473,7.733056
"425",14.564533,15.242347,8.475714
"426",14.833612,16.490051,10.277757
"427",15.456475,18.537975,10.593947
"428",15.310776,16.696379,10.891501
"429",15.070516,16.900349,11.117752
"430",14.808421,16.495752,11.15343
"431",15.074495,16.701893,11.39406
"432",14.776918,16.291965,11.413509
"433",13.098604,15.77667,11.272081
"434",2.426238,15.278152,11.025079
"435",0.319087,14.9547,10.803755
"436",4.659173,26.438684,10.258307
"437",7.49607,26.287247,12.265042
"438",8.509034,24.038162,13.782053
"439",6.108297,20.674648,13.786971
"440",5.20959,19.379797,13.308988
"441",6.727212,18.940151,12.962978
"442",8.62372,17.081112,12.767064
"443",11.82649,17.564335,13.038876
"444",10.863018,19.568487,13.197449
"445",10.827841,17.56168,13.312927
"446",11.315683,19.746971,13.59793
"447",11.673794,17.533545,13.44158
"448",11.678778,17.234491,13.298808
"449",12.188796,17.043152,13.310027
"450",12.158565,17.158941,13.397938
"451",10.850399,16.638603,13.14383
"452",10.870129,16.51775,13.107291
"453",11.888418,16.50967,13.116966
"454",11.804754,16.553467,13.144568
"455",11.07618,16.373253,13.019262
"456",10.014837,18.219379,13.050991
"457",10.893294,17.028151,13.34065
"458",12.402423,20.922798,13.859886
"459",13.11859,21.611168,13.763264
"460",13.873639,22.426119,13.875084
"461",13.622339,22.292423,13.782374
"462",12.458515,20.726238,13.081621
"463",12.119431,17.198633,12.06072
"464",12.193483,16.424252,10.719171
"465",12.009409,14.807407,9.844687
"466",10.712558,14.273393,9.404984
"467",6.5704,15.507906,8.775235
"468",9.115083,16.057087,9.034045
"469",10.459956,16.778681,9.436196
"470",12.249597,14.365983,9.231791
"471",12.877659,16.525917,8.932336
"472",13.360544,16.484137,8.978
"473",13.812312,14.415442,9.134683
"474",12.304127,15.298399,9.078204
"475",12.605706,14.95295,8.569422
"476",12.508768,14.791653,8.340486
"477",10.602544,15.077683,8.441391
"478",2.369552,15.105861,8.365458
"479",13.741669,15.653851,9.308753
"480",14.703374,15.580564,9.909733
"481",15.144792,15.42487,10.02066
"482",14.92254,17.651876,10.037743
"483",15.203053,16.063675,10.375996
"484",14.958244,16.616138,11.125911
"485",14.783116,15.750782,11.041268
"486",14.219063,15.39626,11.003105
"487",13.597816,15.014391,10.857451
"488",4.075618,14.340426,10.536889
"489",3.578222,14.642692,10.572446
"490",8.135703,24.601728,12.678934
"491",9.932514,19.631805,14.222385
"492",3.421944,20.732782,13.825125
"493",4.313317,17.694885,13.489453
"494",8.060814,17.188923,13.209926
"495",9.32023,16.909922,12.996284
"496",11.550948,17.007551,12.853727
"497",11.689447,17.501217,13.116509
"498",10.400292,17.728071,13.283882
"499",10.041363,19.201191,13.33259
"500",10.347328,19.304359,13.42892
"501",10.885711,17.643358,13.506918
"502",11.234804,17.252251,13.318167
"503",12.069387,18.813793,13.332042
"504",11.788986,16.880108,13.238102
"505",10.544522,16.792152,13.190836
"506",9.001024,16.64357,13.154379
"507",9.197104,16.622149,13.162334
"508",11.138974,16.607235,13.133753
"509",11.469268,16.611217,13.106412
"510",10.894364,16.857111,13.183483
"511",11.149714,18.30471,13.820225
"512",13.613595,22.21332,14.067201
"513",13.785603,24.651377,13.545207
"514",12.341381,22.518209,13.861438
"515",11.599134,20.91938,13.340631
"516",12.249372,17.780741,12.549252
"517",11.558366,15.511344,10.423945
"518",11.217517,15.155758,10.07442
"519",9.520668,15.568422,10.415245
"520",6.035709,14.343429,9.663573
"521",4.66857,13.568265,9.092457
"522",6.300228,14.308758,9.614555
"523",8.717427,17.322922,10.134806
"524",11.516294,15.825313,10.316515
"525",12.09868,16.137266,10.256989
"526",12.908493,14.655569,9.311999
"527",13.065847,14.590774,9.268773
"528",12.599222,15.249187,9.004324
"529",11.699483,14.953775,8.777295
"530",12.184042,14.604231,8.379157
"531",11.600918,14.801531,8.371754
"532",9.860733,15.287866,8.948227
"533",14.011999,15.747845,9.794247
"534",14.130785,15.731909,10.11203
"535",14.998626,17.912855,10.149309
"536",14.19816,17.460178,10.035847
"537",13.571747,17.629402,10.321609
"538",14.911943,16.052948,10.891852
"539",14.944691,14.91754,10.451516
"540",14.394079,16.491203,10.247728
"541",10.428441,16.05084,10.200983
"542",2.748194,13.674006,10.033162
"543",3.524766,13.545822,9.901563
"544",6.53039,23.10746,11.284131
"545",11.081254,20.579391,13.919267
"546",12.120257,20.517149,13.818553
"547",9.585259,17.841278,13.593079
"548",9.99026,17.278214,13.323117
"549",11.224733,16.863596,13.09812
"550",11.043265,16.644526,12.986639
"551",11.237679,16.924122,13.112227
"552",12.135326,17.101889,13.189987
"553",9.640846,17.551809,13.426713
"554",10.751495,17.356998,13.370893
"555",11.246687,19.235146,13.418049
"556",11.232859,19.087872,13.366978
"557",12.184305,17.27833,13.373185
"558",12.1711,17.160233,13.335859
"559",12.209238,18.825712,13.33567
"560",10.467825,16.99234,13.277935
"561",9.148182,18.566195,13.31226
"562",9.869581,16.883511,13.455502
"563",10.496842,16.891502,13.250674
"564",10.177273,16.913357,13.300883
"565",11.024906,18.821438,13.253224
"566",11.586493,17.956753,13.641121
"567",13.256156,22.281919,13.95803
"568",12.449707,21.944061,13.96106
"569",10.752268,20.775219,13.626712
"570",9.894098,20.057541,13.088696
"571",10.419789,16.47122,11.870251
"572",7.20755,15.570464,10.764429
"573",8.770811,15.385539,10.608587
"574",7.668612,16.396095,11.861863
"575",6.226929,19.616707,12.572584
"576",6.070506,16.17481,11.631876
"577",8.319049,14.943908,10.186317
"578",9.693521,15.183878,10.294282
"579",10.532858,15.622313,10.559449
"580",11.567744,15.959934,10.763389
"581",11.705122,17.365856,10.192889
"582",11.452953,19.323889,12.368952
"583",11.317209,17.788046,12.762543
"584",11.778522,16.788694,11.5234
"585",12.109324,15.725165,9.532187
"586",12.832497,15.055427,8.916599
"587",11.946945,15.57332,9.455282
"588",13.725306,15.78671,9.997968
"589",14.255951,15.906744,10.253119
"590",13.953519,16.110498,10.38885
"591",14.443218,16.364645,10.629577
"592",13.980075,16.311531,10.870108
"593",15.654724,16.145256,11.018509
"594",15.361801,15.143563,10.517534
"595",13.127485,15.818639,9.748034
"596",6.005836,13.73118,9.860894
"597",4.752696,15.161503,9.550487
"598",3.109833,15.284709,9.545098
"599",5.528921,0,2.78188
"600",11.777512,18.248558,13.670107
"601",10.377208,20.231392,13.726837
"602",11.980654,17.718962,13.542414
"603",11.27927,17.385777,13.348355
"604",12.05628,16.947598,13.144707
"605",11.345425,16.573997,12.980562
"606",11.544884,16.460272,12.963574
"607",11.050671,16.803223,13.144111
"608",11.168661,17.025103,13.221036
"609",9.918911,17.154226,13.346342
"610",10.732422,17.245773,13.330467
"611",11.163061,17.480299,13.466106
"612",11.185496,19.165325,13.408221
"613",12.499937,17.323137,13.399632
"614",12.07667,17.320946,13.397778
"615",12.08889,17.277956,13.399115
"616",10.693034,17.20693,13.377914
"617",8.699134,18.837715,13.386251
"618",8.361905,18.86286,13.402102
"619",10.47391,17.143473,13.346398
"620",10.196927,17.171715,13.284534
"621",11.686183,19.151871,13.3053
"622",11.78053,17.320339,13.148157
